Transaction_ID,Customer_ID,Customer_Type,Policy_ID,Policy_Name,Product_Family,Transaction_Date,Month,Year,Quarter,Sales_Channel,Agency_ID,Bank_ID,Transaction_Type,Transaction_Detail,Payment_Cost
47,36,Retail,6,CAPITALE DIFFERITO,SAVING,1/6/2016,1,2016,Q1,Agency,1,,Lost,Maturity,250.4180318
48,36,Retail,11,BUON COMPLEANNO,INVESTMENT,1/30/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,885.511779
49,36,Retail,3,FUTURO PROTETTO,PROTECTION,1/30/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,504.6223576
50,37,Retail,6,CAPITALE DIFFERITO,SAVING,1/4/2016,1,2016,Q1,Agency,1,,Lost,Maturity,267.5327876
51,37,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/3/2016,1,2016,Q1,Agency,4,,Lost,Lapse,583.3671754
52,38,CLP,3,FUTURO PROTETTO,PROTECTION,1/19/2016,1,2016,Q1,Bank,,10,Lost,Lapse,13782.58854
53,39,CLP,8,EKONOMIA,SAVING,1/2/2016,1,2016,Q1,Bank,,8,Lost,Lapse,13721.01511
54,40,CLP,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/2/2016,1,2016,Q1,Bank,,2,Lost,Lapse,15635.52559
55,41,Retail,11,BUON COMPLEANNO,INVESTMENT,1/11/2016,1,2016,Q1,Agency,3,,Lost,Withdrawal/Non-Redemption,805.3035633
56,42,CLP,3,FUTURO PROTETTO,PROTECTION,1/24/2016,1,2016,Q1,Bank,,3,Lost,Surrender/Conversion,15210.74391
57,43,CLP,12,DOPPIO VALORE,INVESTMENT,1/2/2016,1,2016,Q1,Bank,,2,Lost,Maturity,18523.14765
58,43,CLP,7,ZURICH FONTE,SAVING,1/25/2016,1,2016,Q1,Bank,,1,Lost,Maturity,14322.04217
59,44,CLP,8,EKONOMIA,SAVING,1/30/2016,1,2016,Q1,Bank,,1,Lost,Lapse,11739.80802
60,45,Retail,19,RENDITE,PREVENTION,1/14/2016,1,2016,Q1,Agency,3,,Lost,Maturity,420.6197132
61,46,Retail,18,PREVIR,PREVENTION,1/8/2016,1,2016,Q1,Agency,5,,Lost,Surrender/Conversion,364.7012461
62,46,Retail,8,EKONOMIA,SAVING,1/3/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,240.1251604
63,47,Retail,4,GUARDIAN PA,PROTECTION,1/18/2016,1,2016,Q1,Agency,1,,Lost,Maturity,463.2995362
64,47,Retail,18,PREVIR,PREVENTION,1/6/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,452.1124987
65,47,Retail,14,EXTERA,INVESTMENT,1/9/2016,1,2016,Q1,Agency,2,,Lost,Lapse,789.1934303
66,48,Retail,18,PREVIR,PREVENTION,1/10/2016,1,2016,Q1,Agency,2,,Lost,Maturity,333.4638204
67,49,CLP,19,RENDITE,PREVENTION,1/3/2016,1,2016,Q1,Bank,,6,Lost,Surrender/Conversion,14161.20562
68,49,CLP,4,GUARDIAN PA,PROTECTION,1/12/2016,1,2016,Q1,Bank,,2,Lost,Withdrawal/Non-Redemption,15191.99277
69,50,Retail,11,BUON COMPLEANNO,INVESTMENT,1/1/2016,1,2016,Q1,Agency,4,,Lost,Withdrawal/Non-Redemption,682.9478572
70,50,Retail,4,GUARDIAN PA,PROTECTION,1/2/2016,1,2016,Q1,Agency,2,,Lost,Lapse,417.6641051
71,51,Retail,8,EKONOMIA,SAVING,1/4/2016,1,2016,Q1,Agency,1,,Lost,Maturity,353.8548086
72,51,Retail,13,EAZY INVEST,INVESTMENT,1/13/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,649.9750625
73,52,CLP,8,EKONOMIA,SAVING,1/14/2016,1,2016,Q1,Bank,,8,Lost,Maturity,13597.85029
74,52,CLP,14,EXTERA,INVESTMENT,1/14/2016,1,2016,Q1,Bank,,2,Lost,Surrender/Conversion,15695.72069
75,52,CLP,4,GUARDIAN PA,PROTECTION,1/28/2016,1,2016,Q1,Bank,,2,Lost,Maturity,17305.37626
76,53,Retail,8,EKONOMIA,SAVING,1/1/2016,1,2016,Q1,Agency,3,,Lost,Withdrawal/Non-Redemption,302.5347994
77,54,CLP,11,BUON COMPLEANNO,INVESTMENT,1/8/2016,1,2016,Q1,Bank,,4,Lost,Surrender/Conversion,17765.28655
78,55,Retail,3,FUTURO PROTETTO,PROTECTION,1/14/2016,1,2016,Q1,Agency,3,,Lost,Maturity,405.6232106
79,56,Retail,9,CALCOLO,SAVING,1/30/2016,1,2016,Q1,Agency,4,,Lost,Surrender/Conversion,246.432191
80,57,Retail,9,CALCOLO,SAVING,1/29/2016,1,2016,Q1,Agency,2,,Lost,Maturity,289.4569127
81,58,Retail,8,EKONOMIA,SAVING,1/2/2016,1,2016,Q1,Agency,1,,Lost,Maturity,240.5787839
82,59,Retail,4,GUARDIAN PA,PROTECTION,1/1/2016,1,2016,Q1,Agency,4,,Lost,Maturity,512.1365832
83,60,Retail,3,FUTURO PROTETTO,PROTECTION,1/5/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,457.2748396
84,60,Retail,16,IO DECIDO DIFFERITA,PREVENTION,1/29/2016,1,2016,Q1,Agency,1,,Lost,Lapse,388.8620507
85,61,Retail,7,ZURICH FONTE,SAVING,1/6/2016,1,2016,Q1,Agency,5,,Lost,Maturity,344.2885563
86,61,Retail,19,RENDITE,PREVENTION,1/7/2016,1,2016,Q1,Agency,4,,Lost,Surrender/Conversion,438.2174233
87,62,Retail,14,EXTERA,INVESTMENT,1/14/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,732.8156735
88,63,Retail,7,ZURICH FONTE,SAVING,1/29/2016,1,2016,Q1,Agency,6,,Lost,Lapse,338.6717411
89,64,CLP,3,FUTURO PROTETTO,PROTECTION,1/22/2016,1,2016,Q1,Bank,,4,Lost,Surrender/Conversion,13673.49924
90,65,Retail,13,EAZY INVEST,INVESTMENT,1/23/2016,1,2016,Q1,Agency,2,,Lost,Maturity,685.3570005
91,66,Retail,6,CAPITALE DIFFERITO,SAVING,1/25/2016,1,2016,Q1,Agency,3,,Lost,Withdrawal/Non-Redemption,355.871482
92,67,Retail,10,STEP BY STEP,SAVING,1/26/2016,1,2016,Q1,Agency,4,,Lost,Lapse,267.7871691
93,68,CLP,8,EKONOMIA,SAVING,1/28/2016,1,2016,Q1,Bank,,8,Lost,Surrender/Conversion,12938.05389
94,68,CLP,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/21/2016,1,2016,Q1,Bank,,2,Lost,Surrender/Conversion,12368.82125
95,69,Retail,4,GUARDIAN PA,PROTECTION,1/14/2016,1,2016,Q1,Agency,1,,Lost,Lapse,520.8577713
96,70,CLP,2,COLLETTIVA ERBAVOGLIO GOLD,PROTECTION,1/20/2016,1,2016,Q1,Bank,,7,Lost,Maturity,17500.35637
97,71,Retail,8,EKONOMIA,SAVING,1/5/2016,1,2016,Q1,Agency,1,,Lost,Maturity,276.0998919
98,72,Retail,11,BUON COMPLEANNO,INVESTMENT,1/20/2016,1,2016,Q1,Agency,3,,Lost,Lapse,938.0860988
99,72,Retail,17,OPZIONE RENDITA,PREVENTION,1/28/2016,1,2016,Q1,Agency,3,,Lost,Surrender/Conversion,320.8376742
100,73,CLP,11,BUON COMPLEANNO,INVESTMENT,1/12/2016,1,2016,Q1,Bank,,2,Lost,Maturity,19105.64585
101,74,CLP,14,EXTERA,INVESTMENT,1/26/2016,1,2016,Q1,Bank,,1,Lost,Maturity,16000.52493
102,75,Retail,17,OPZIONE RENDITA,PREVENTION,1/26/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,351.814143
103,75,Retail,9,CALCOLO,SAVING,1/17/2016,1,2016,Q1,Agency,4,,Lost,Maturity,302.4259598
104,75,Retail,11,BUON COMPLEANNO,INVESTMENT,1/25/2016,1,2016,Q1,Agency,3,,Lost,Maturity,728.3482297
105,76,Retail,4,GUARDIAN PA,PROTECTION,1/16/2016,1,2016,Q1,Agency,5,,Lost,Withdrawal/Non-Redemption,428.7933988
106,77,Retail,3,FUTURO PROTETTO,PROTECTION,1/15/2016,1,2016,Q1,Agency,6,,Lost,Surrender/Conversion,440.2443201
107,78,Retail,9,CALCOLO,SAVING,1/17/2016,1,2016,Q1,Agency,1,,Lost,Lapse,331.9013025
108,78,Retail,3,FUTURO PROTETTO,PROTECTION,1/8/2016,1,2016,Q1,Agency,3,,Lost,Withdrawal/Non-Redemption,402.3972452
109,78,Retail,20,Z INTEGRA,PREVENTION,1/22/2016,1,2016,Q1,Agency,2,,Lost,Lapse,428.2173789
110,79,Retail,8,EKONOMIA,SAVING,1/14/2016,1,2016,Q1,Agency,2,,Lost,Maturity,243.2691567
111,80,Retail,3,FUTURO PROTETTO,PROTECTION,1/12/2016,1,2016,Q1,Agency,1,,Lost,Lapse,531.8574652
112,81,Retail,19,RENDITE,PREVENTION,1/1/2016,1,2016,Q1,Agency,2,,Lost,Lapse,396.4079792
113,82,Retail,4,GUARDIAN PA,PROTECTION,1/10/2016,1,2016,Q1,Agency,2,,Lost,Lapse,508.9415863
114,83,Retail,12,DOPPIO VALORE,INVESTMENT,1/3/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,754.4344578
115,83,Retail,19,RENDITE,PREVENTION,1/19/2016,1,2016,Q1,Agency,2,,Lost,Maturity,334.9108211
116,84,CLP,2,COLLETTIVA ERBAVOGLIO GOLD,PROTECTION,1/12/2016,1,2016,Q1,Bank,,2,Lost,Maturity,16799.10307
117,84,CLP,9,CALCOLO,SAVING,1/3/2016,1,2016,Q1,Bank,,1,Lost,Surrender/Conversion,15400.13433
118,85,Retail,14,EXTERA,INVESTMENT,1/4/2016,1,2016,Q1,Agency,2,,Lost,Maturity,833.9860402
119,86,Retail,3,FUTURO PROTETTO,PROTECTION,1/13/2016,1,2016,Q1,Agency,1,,Lost,Maturity,422.7446221
120,87,Retail,11,BUON COMPLEANNO,INVESTMENT,1/27/2016,1,2016,Q1,Agency,1,,Lost,Lapse,826.7440715
121,88,Retail,8,EKONOMIA,SAVING,1/21/2016,1,2016,Q1,Agency,1,,Lost,Maturity,298.9275889
122,89,CLP,3,FUTURO PROTETTO,PROTECTION,1/2/2016,1,2016,Q1,Bank,,1,Lost,Maturity,17212.8754
123,90,CLP,14,EXTERA,INVESTMENT,1/20/2016,1,2016,Q1,Bank,,2,Lost,Maturity,19936.11009
124,90,CLP,2,COLLETTIVA ERBAVOGLIO GOLD,PROTECTION,1/7/2016,1,2016,Q1,Bank,,8,Lost,Maturity,14624.20174
125,91,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/12/2016,1,2016,Q1,Agency,1,,Lost,Withdrawal/Non-Redemption,518.1665479
126,92,CLP,5,ZURICH PROTECTA,PROTECTION,1/29/2016,1,2016,Q1,Bank,,8,Lost,Lapse,16122.34175
127,92,CLP,18,PREVIR,PREVENTION,1/7/2016,1,2016,Q1,Bank,,1,Lost,Maturity,14016.32906
128,93,Retail,18,PREVIR,PREVENTION,1/12/2016,1,2016,Q1,Agency,4,,Lost,Maturity,423.3539123
129,94,Retail,9,CALCOLO,SAVING,1/8/2016,1,2016,Q1,Agency,2,,Lost,Lapse,306.6079201
130,95,Retail,12,DOPPIO VALORE,INVESTMENT,1/27/2016,1,2016,Q1,Agency,1,,Lost,Maturity,670.2647855
131,95,Retail,5,ZURICH PROTECTA,PROTECTION,1/21/2016,1,2016,Q1,Agency,2,,Lost,Lapse,418.4810127
132,96,CLP,9,CALCOLO,SAVING,1/23/2016,1,2016,Q1,Bank,,2,Lost,Maturity,13954.78018
133,97,Retail,19,RENDITE,PREVENTION,1/26/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,326.4648525
134,97,Retail,8,EKONOMIA,SAVING,1/15/2016,1,2016,Q1,Agency,5,,Lost,Maturity,300.4510423
135,98,Retail,19,RENDITE,PREVENTION,1/20/2016,1,2016,Q1,Agency,1,,Lost,Lapse,351.1491348
136,98,Retail,11,BUON COMPLEANNO,INVESTMENT,1/29/2016,1,2016,Q1,Agency,1,,Lost,Maturity,926.8845802
137,99,Retail,11,BUON COMPLEANNO,INVESTMENT,1/29/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,839.876899
138,99,Retail,19,RENDITE,PREVENTION,1/27/2016,1,2016,Q1,Agency,3,,Lost,Surrender/Conversion,329.2654865
139,100,Retail,18,PREVIR,PREVENTION,1/24/2016,1,2016,Q1,Agency,5,,Lost,Maturity,415.5244911
140,101,Retail,19,RENDITE,PREVENTION,1/9/2016,1,2016,Q1,Agency,4,,New,True New Customer,471.4546206
141,102,Retail,6,CAPITALE DIFFERITO,SAVING,1/3/2016,1,2016,Q1,Agency,1,,New,True New Customer,305.4286798
142,103,Retail,19,RENDITE,PREVENTION,1/29/2016,1,2016,Q1,Agency,5,,New,False New Customer,421.8740012
143,103,Retail,14,EXTERA,INVESTMENT,1/23/2016,1,2016,Q1,Agency,1,,New,True New Customer,674.9548553
144,103,Retail,9,CALCOLO,SAVING,1/3/2016,1,2016,Q1,Agency,1,,New,True New Customer,246.7448604
145,104,CLP,11,BUON COMPLEANNO,INVESTMENT,1/27/2016,1,2016,Q1,Bank,,10,New,True New Customer,14785.65166
146,105,CLP,3,FUTURO PROTETTO,PROTECTION,1/30/2016,1,2016,Q1,Bank,,2,New,True New Customer,15754.143
147,106,Retail,18,PREVIR,PREVENTION,1/20/2016,1,2016,Q1,Agency,1,,New,Resumed Customer,474.3103097
148,107,Retail,8,EKONOMIA,SAVING,1/31/2016,1,2016,Q1,Agency,1,,New,True New Customer,263.1451157
149,108,CLP,9,CALCOLO,SAVING,1/10/2016,1,2016,Q1,Bank,,3,New,True New Customer,14995.64999
150,109,Retail,3,FUTURO PROTETTO,PROTECTION,1/16/2016,1,2016,Q1,Agency,1,,New,True New Customer,510.1875896
151,110,CLP,18,PREVIR,PREVENTION,1/17/2016,1,2016,Q1,Bank,,5,New,True New Customer,14622.47749
152,111,Retail,4,GUARDIAN PA,PROTECTION,1/31/2016,1,2016,Q1,Agency,1,,New,False New Customer,584.8436479
153,112,Retail,12,DOPPIO VALORE,INVESTMENT,1/10/2016,1,2016,Q1,Agency,1,,New,True New Customer,909.1349675
154,113,CLP,9,CALCOLO,SAVING,1/5/2016,1,2016,Q1,Bank,,10,New,True New Customer,15472.25213
155,113,CLP,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/17/2016,1,2016,Q1,Bank,,1,New,Resumed Customer,15881.72147
156,113,CLP,14,EXTERA,INVESTMENT,1/21/2016,1,2016,Q1,Bank,,2,New,True New Customer,20188.35163
157,114,Retail,19,RENDITE,PREVENTION,1/20/2016,1,2016,Q1,Agency,3,,New,Resumed Customer,423.6619967
158,115,Retail,14,EXTERA,INVESTMENT,1/3/2016,1,2016,Q1,Agency,1,,New,True New Customer,896.1254549
159,116,CLP,12,DOPPIO VALORE,INVESTMENT,1/21/2016,1,2016,Q1,Bank,,3,New,True New Customer,20177.78405
160,116,CLP,19,RENDITE,PREVENTION,1/26/2016,1,2016,Q1,Bank,,1,New,True New Customer,14812.03302
161,117,Retail,3,FUTURO PROTETTO,PROTECTION,1/22/2016,1,2016,Q1,Agency,1,,New,True New Customer,528.8735316
162,118,CLP,8,EKONOMIA,SAVING,1/24/2016,1,2016,Q1,Bank,,3,New,True New Customer,15134.71436
163,119,Retail,11,BUON COMPLEANNO,INVESTMENT,1/11/2016,1,2016,Q1,Agency,3,,New,False New Customer,853.5206285
164,120,CLP,4,GUARDIAN PA,PROTECTION,1/28/2016,1,2016,Q1,Bank,,1,New,True New Customer,13609.30302
165,121,Retail,4,GUARDIAN PA,PROTECTION,1/14/2016,1,2016,Q1,Agency,3,,New,True New Customer,527.4353247
166,122,Retail,8,EKONOMIA,SAVING,1/28/2016,1,2016,Q1,Agency,1,,New,True New Customer,307.0930369
167,122,Retail,19,RENDITE,PREVENTION,1/20/2016,1,2016,Q1,Agency,3,,New,True New Customer,439.4008515
168,122,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/28/2016,1,2016,Q1,Agency,3,,New,True New Customer,437.2246208
169,122,Retail,14,EXTERA,INVESTMENT,1/15/2016,1,2016,Q1,Agency,2,,New,True New Customer,875.8633866
170,123,Retail,9,CALCOLO,SAVING,1/30/2016,1,2016,Q1,Agency,6,,New,True New Customer,257.650187
171,123,Retail,3,FUTURO PROTETTO,PROTECTION,1/1/2016,1,2016,Q1,Agency,2,,New,True New Customer,597.5057434
172,124,CLP,11,BUON COMPLEANNO,INVESTMENT,1/21/2016,1,2016,Q1,Bank,,6,New,Resumed Customer,16400.46222
173,125,Retail,19,RENDITE,PREVENTION,1/18/2016,1,2016,Q1,Agency,2,,New,True New Customer,431.4496342
174,125,Retail,9,CALCOLO,SAVING,1/4/2016,1,2016,Q1,Agency,2,,New,True New Customer,301.7787787
175,126,CLP,19,RENDITE,PREVENTION,1/10/2016,1,2016,Q1,Bank,,1,New,Resumed Customer,11432.67768
176,127,Retail,4,GUARDIAN PA,PROTECTION,1/21/2016,1,2016,Q1,Agency,3,,New,True New Customer,444.8260447
177,128,Retail,19,RENDITE,PREVENTION,1/1/2016,1,2016,Q1,Agency,3,,New,True New Customer,373.3188251
178,128,Retail,8,EKONOMIA,SAVING,1/24/2016,1,2016,Q1,Agency,6,,New,False New Customer,261.0244061
179,129,Retail,3,FUTURO PROTETTO,PROTECTION,1/15/2016,1,2016,Q1,Agency,1,,New,False New Customer,457.2468976
180,129,Retail,14,EXTERA,INVESTMENT,1/23/2016,1,2016,Q1,Agency,3,,New,False New Customer,806.9812727
181,130,Retail,6,CAPITALE DIFFERITO,SAVING,1/29/2016,1,2016,Q1,Agency,1,,New,False New Customer,284.1989738
182,131,CLP,14,EXTERA,INVESTMENT,1/9/2016,1,2016,Q1,Bank,,1,New,True New Customer,16301.03886
183,132,Retail,18,PREVIR,PREVENTION,1/5/2016,1,2016,Q1,Agency,2,,New,True New Customer,321.1394072
184,133,CLP,9,CALCOLO,SAVING,1/4/2016,1,2016,Q1,Bank,,7,New,False New Customer,10560.33677
185,133,CLP,18,PREVIR,PREVENTION,1/16/2016,1,2016,Q1,Bank,,1,New,True New Customer,16599.40369
186,134,CLP,6,CAPITALE DIFFERITO,SAVING,1/24/2016,1,2016,Q1,Bank,,1,New,True New Customer,14342.85284
187,134,CLP,3,FUTURO PROTETTO,PROTECTION,1/15/2016,1,2016,Q1,Bank,,4,New,False New Customer,17042.76249
188,135,Retail,18,PREVIR,PREVENTION,1/2/2016,1,2016,Q1,Agency,2,,New,True New Customer,335.2271359
189,136,Retail,12,DOPPIO VALORE,INVESTMENT,1/17/2016,1,2016,Q1,Agency,1,,New,True New Customer,657.7783173
190,137,CLP,17,OPZIONE RENDITA,PREVENTION,1/17/2016,1,2016,Q1,Bank,,5,New,True New Customer,15401.81912
191,137,CLP,3,FUTURO PROTETTO,PROTECTION,1/26/2016,1,2016,Q1,Bank,,3,New,True New Customer,13306.20962
192,138,Retail,3,FUTURO PROTETTO,PROTECTION,1/27/2016,1,2016,Q1,Agency,4,,New,False New Customer,531.0578908
193,139,CLP,3,FUTURO PROTETTO,PROTECTION,1/8/2016,1,2016,Q1,Bank,,2,New,Resumed Customer,13530.318
194,140,Retail,3,FUTURO PROTETTO,PROTECTION,1/25/2016,1,2016,Q1,Agency,1,,New,True New Customer,436.7676927
195,141,Retail,13,EAZY INVEST,INVESTMENT,1/31/2016,1,2016,Q1,Agency,4,,New,True New Customer,872.3221366
196,141,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/3/2016,1,2016,Q1,Agency,2,,New,True New Customer,569.6955781
197,142,Retail,19,RENDITE,PREVENTION,1/7/2016,1,2016,Q1,Agency,1,,New,True New Customer,458.8533785
198,143,Retail,14,EXTERA,INVESTMENT,1/29/2016,1,2016,Q1,Agency,1,,New,True New Customer,670.0007799
199,143,Retail,18,PREVIR,PREVENTION,1/26/2016,1,2016,Q1,Agency,5,,New,Resumed Customer,415.9229339
200,144,Retail,14,EXTERA,INVESTMENT,1/29/2016,1,2016,Q1,Agency,1,,New,True New Customer,697.006511
201,145,Retail,19,RENDITE,PREVENTION,1/5/2016,1,2016,Q1,Agency,4,,New,True New Customer,372.4761021
202,145,Retail,9,CALCOLO,SAVING,1/14/2016,1,2016,Q1,Agency,2,,New,True New Customer,289.941892
203,146,Retail,19,RENDITE,PREVENTION,1/25/2016,1,2016,Q1,Agency,2,,New,Resumed Customer,406.5058902
204,146,Retail,3,FUTURO PROTETTO,PROTECTION,1/2/2016,1,2016,Q1,Agency,1,,New,True New Customer,444.0175438
205,147,Retail,14,EXTERA,INVESTMENT,1/3/2016,1,2016,Q1,Agency,2,,New,True New Customer,683.3891062
206,148,Retail,16,IO DECIDO DIFFERITA,PREVENTION,1/7/2016,1,2016,Q1,Agency,2,,New,True New Customer,435.3752219
207,149,CLP,3,FUTURO PROTETTO,PROTECTION,1/23/2016,1,2016,Q1,Bank,,6,New,True New Customer,13129.4131
208,150,Retail,20,Z INTEGRA,PREVENTION,1/20/2016,1,2016,Q1,Agency,3,,New,True New Customer,438.1885642
209,150,Retail,12,DOPPIO VALORE,INVESTMENT,1/17/2016,1,2016,Q1,Agency,1,,New,True New Customer,759.5964251
210,151,CLP,14,EXTERA,INVESTMENT,1/16/2016,1,2016,Q1,Bank,,6,New,False New Customer,20260.66828
